ConceptID,ConceptLabel,Dependencies,TaxonomyID
1,Scientific Reasoning,,FOUND
2,Assessment Targets,1,FOUND
3,Career and College Readiness Standards,1,FOUND
4,Science Practices,1|2,FOUND
5,Content Topics,1|2,FOUND
6,Depth of Knowledge (DOK),1|4,FOUND
7,Test Item Alignment,4|5|6,FOUND
8,Scientific Method,1,FOUND
9,Evidence-Based Reasoning,1|8,FOUND
10,Data Interpretation,1|9,FOUND
11,Scientific Literacy,1|8,FOUND
12,Textual Scientific Presentations,11,COMP
13,Non-Textual Scientific Presentations,11,COMP
14,Visual Data Representation,10|13,COMP
15,Quantitative Reasoning,1|10,FOUND
16,Qualitative Reasoning,1|10,FOUND
17,Scientific Inquiry,8|9,FOUND
18,Experimental Design,8|17,DESIGN
19,Observational Studies,8|17,DESIGN
20,Scientific Communication,11,FOUND
21,Reading Scientific Text,12,COMP
22,Central Ideas in Science,21,COMP
23,Summaries of Scientific Findings,21|22,COMP
24,Restatements of Research,21|23,COMP
25,Scientific Comparisons,21,COMP
26,Scientific Processes,8|21,COMP
27,Scientific Theories Overview,21,COMP
28,Scientific Trends,21|27,COMP
29,Academic Vocabulary in Science,21,COMP
30,Scientific Symbols,29,COMP
31,Scientific Terms and Phrases,29,COMP
32,Context Clues in Science,21|31,COMP
33,Graphs and Charts,14,COMP
34,Tables and Diagrams,14,COMP
35,Data Visualization,14|33|34,COMP
36,Hypothesis Formation,17,DESIGN
37,Hypothesis Refinement,36,DESIGN
38,Independent Variables,18|36,DESIGN
39,Dependent Variables,18|36,DESIGN
40,Controlled Variables,18|38|39,DESIGN
41,Sources of Experimental Error,18,DESIGN
42,Systematic Error,41,DESIGN
43,Random Error,41,DESIGN
44,Error Reduction Strategies,41|42|43,DESIGN
45,Experimental Controls,18|40,DESIGN
46,Sample Size,18|19,DESIGN
47,Replication in Experiments,18|46,DESIGN
48,Experimental Procedures,18,DESIGN
49,Scientific Investigation Steps,17|48,DESIGN
50,Measurement Tools,18|48,DESIGN
51,Units of Measurement,50,DESIGN
52,Precision and Accuracy,50|51,DESIGN
53,Data Collection Methods,18|48,DESIGN
54,Experimental Design Strengths,18|48,DESIGN
55,Experimental Design Weaknesses,18|48,DESIGN
56,Comparing Experimental Designs,54|55,DESIGN
57,Observational Study Design,19,DESIGN
58,Cause and Effect Relationships,18|38|39,DESIGN
59,Correlation vs Causation,58,DESIGN
60,Confounding Variables,40|59,DESIGN
61,Evidence-Based Conclusions,9|10,REASON
62,Citing Textual Evidence,21|61,REASON
63,Supporting Findings with Data,10|61,REASON
64,Numerical Data Analysis,15|33,REASON
65,Data-Driven Reasoning,10|64,REASON
66,Logical Conclusions,61|65,REASON
